Row,Row.Numbers,Genotype,Pedigree,Treatment,date,Canopy_Coverage
1001,1001 and 1002,A641,Ames 19311,Nitrogen,6-Jul,29.74737927
1001,1001 and 1002,A641,Ames 19311,Nitrogen,23-Aug,15.53797676
1001,1001 and 1002,A641,Ames 19311,Nitrogen,1-Sep,15.18972581
1001,1001 and 1002,A641,Ames 19311,Nitrogen,22-Aug,19.03728342
1001,1001 and 1002,A641,Ames 19311,Nitrogen,12-Aug,9.793072884
1001,1001 and 1002,A641,Ames 19311,Nitrogen,26-Aug,21.37886909
1001,1001 and 1002,A641,Ames 19311,Nitrogen,3-Sep,13.53672776
1001,1001 and 1002,A641,Ames 19311,Nitrogen,14-Aug,8.330185806
1001,1001 and 1002,A641,Ames 19311,Nitrogen,20-Aug,10.17970038
1001,1001 and 1002,A641,Ames 19311,Nitrogen,30-Aug,9.94554188
1001,1001 and 1002,A641,Ames 19311,Nitrogen,5-Sep,8.183619459
1001,1001 and 1002,A641,Ames 19311,Nitrogen,16-Aug,11.57320106
1003,1003 and 1004,B76,PI 550483,Nitrogen,23-Aug,75.10951959
1003,1003 and 1004,B76,PI 550483,Nitrogen,20-Aug,74.09559161
1003,1003 and 1004,B76,PI 550483,Nitrogen,16-Aug,71.85679269
1003,1003 and 1004,B76,PI 550483,Nitrogen,22-Aug,75.43453683
1003,1003 and 1004,B76,PI 550483,Nitrogen,1-Sep,74.38293439
1003,1003 and 1004,B76,PI 550483,Nitrogen,14-Aug,68.74322266
1003,1003 and 1004,B76,PI 550483,Nitrogen,3-Sep,61.73542298
1003,1003 and 1004,B76,PI 550483,Nitrogen,6-Jul,47.45145214
1003,1003 and 1004,B76,PI 550483,Nitrogen,5-Sep,67.1826634
1003,1003 and 1004,B76,PI 550483,Nitrogen,30-Aug,75.11395325
1003,1003 and 1004,B76,PI 550483,Nitrogen,26-Aug,72.0673193
1003,1003 and 1004,B76,PI 550483,Nitrogen,12-Aug,72.86029342
1005,1005 and 1006,A654,PI 587141,Nitrogen,26-Aug,55.76903697
1005,1005 and 1006,A654,PI 587141,Nitrogen,1-Sep,48.69693884
1005,1005 and 1006,A654,PI 587141,Nitrogen,20-Aug,54.37665631
1005,1005 and 1006,A654,PI 587141,Nitrogen,16-Aug,44.14015277
1005,1005 and 1006,A654,PI 587141,Nitrogen,22-Aug,53.39257252
1005,1005 and 1006,A654,PI 587141,Nitrogen,14-Aug,48.22784039
1005,1005 and 1006,A654,PI 587141,Nitrogen,30-Aug,50.83818784
1005,1005 and 1006,A654,PI 587141,Nitrogen,23-Aug,52.16747745
1005,1005 and 1006,A654,PI 587141,Nitrogen,6-Jul,43.29648088
1005,1005 and 1006,A654,PI 587141,Nitrogen,5-Sep,37.85315431
1005,1005 and 1006,A654,PI 587141,Nitrogen,12-Aug,49.73883498
1005,1005 and 1006,A654,PI 587141,Nitrogen,3-Sep,41.31356522
1007,1007 and 1008,A239,Ames 23405,Nitrogen,26-Aug,74.3776996
1007,1007 and 1008,A239,Ames 23405,Nitrogen,22-Aug,69.77542321
1007,1007 and 1008,A239,Ames 23405,Nitrogen,12-Aug,70.89091568
1007,1007 and 1008,A239,Ames 23405,Nitrogen,14-Aug,69.15707178
1007,1007 and 1008,A239,Ames 23405,Nitrogen,20-Aug,73.00936218
1007,1007 and 1008,A239,Ames 23405,Nitrogen,3-Sep,51.48035865
1007,1007 and 1008,A239,Ames 23405,Nitrogen,16-Aug,64.22666848
1007,1007 and 1008,A239,Ames 23405,Nitrogen,1-Sep,71.57079961
1007,1007 and 1008,A239,Ames 23405,Nitrogen,6-Jul,36.71650341
1007,1007 and 1008,A239,Ames 23405,Nitrogen,5-Sep,61.08658602
1007,1007 and 1008,A239,Ames 23405,Nitrogen,30-Aug,79.089834
1007,1007 and 1008,A239,Ames 23405,Nitrogen,23-Aug,71.81781177
1009,1009 and 1010,A682,PI 587143,Nitrogen,5-Sep,61.46402295
1009,1009 and 1010,A682,PI 587143,Nitrogen,12-Aug,71.13959402
1009,1009 and 1010,A682,PI 587143,Nitrogen,20-Aug,68.29012801
1009,1009 and 1010,A682,PI 587143,Nitrogen,14-Aug,60.6863641
1009,1009 and 1010,A682,PI 587143,Nitrogen,3-Sep,49.44327202
1009,1009 and 1010,A682,PI 587143,Nitrogen,30-Aug,90.33331873
1009,1009 and 1010,A682,PI 587143,Nitrogen,23-Aug,74.07452741
1009,1009 and 1010,A682,PI 587143,Nitrogen,22-Aug,62.87168227
1009,1009 and 1010,A682,PI 587143,Nitrogen,26-Aug,70.56409559
1009,1009 and 1010,A682,PI 587143,Nitrogen,16-Aug,59.01324006
1009,1009 and 1010,A682,PI 587143,Nitrogen,1-Sep,76.38786315
1009,1009 and 1010,A682,PI 587143,Nitrogen,6-Jul,37.79725421
1011,1011 and 1012,C123,Ames 19313,Nitrogen,5-Sep,10.11403472
1011,1011 and 1012,C123,Ames 19313,Nitrogen,30-Aug,10.28543063
1011,1011 and 1012,C123,Ames 19313,Nitrogen,1-Sep,7.711603295
1011,1011 and 1012,C123,Ames 19313,Nitrogen,26-Aug,16.3095319
1011,1011 and 1012,C123,Ames 19313,Nitrogen,20-Aug,6.406647178
1011,1011 and 1012,C123,Ames 19313,Nitrogen,12-Aug,5.203954935
1011,1011 and 1012,C123,Ames 19313,Nitrogen,22-Aug,11.63523834
1011,1011 and 1012,C123,Ames 19313,Nitrogen,16-Aug,4.432204503
1011,1011 and 1012,C123,Ames 19313,Nitrogen,23-Aug,10.83411375
1011,1011 and 1012,C123,Ames 19313,Nitrogen,6-Jul,8.849936033
1011,1011 and 1012,C123,Ames 19313,Nitrogen,14-Aug,4.383795309
1011,1011 and 1012,C123,Ames 19313,Nitrogen,3-Sep,10.07273779
1013,1013 and 1014,A554,PI 587138,Nitrogen,22-Aug,42.23222132
1013,1013 and 1014,A554,PI 587138,Nitrogen,3-Sep,23.04963095
1013,1013 and 1014,A554,PI 587138,Nitrogen,16-Aug,40.15967335
1013,1013 and 1014,A554,PI 587138,Nitrogen,14-Aug,42.68372424
1013,1013 and 1014,A554,PI 587138,Nitrogen,12-Aug,49.47503192
1013,1013 and 1014,A554,PI 587138,Nitrogen,26-Aug,47.84230916
1013,1013 and 1014,A554,PI 587138,Nitrogen,30-Aug,44.65303024
1013,1013 and 1014,A554,PI 587138,Nitrogen,23-Aug,56.51979608
1013,1013 and 1014,A554,PI 587138,Nitrogen,20-Aug,46.51458696
1013,1013 and 1014,A554,PI 587138,Nitrogen,1-Sep,33.13250358
1013,1013 and 1014,A554,PI 587138,Nitrogen,5-Sep,29.52487841
1013,1013 and 1014,A554,PI 587138,Nitrogen,6-Jul,33.70529492
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,6-Jul,28.44131294
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,22-Aug,28.64883784
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,23-Aug,35.12170267
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,12-Aug,34.58633922
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,5-Sep,18.05434316
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,14-Aug,26.19677125
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,1-Sep,19.20554342
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,26-Aug,33.47356234
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,30-Aug,27.52193655
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,16-Aug,26.83434001
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,20-Aug,28.29377154
1015,1015 and 1016,EP1,Ames 27111,Nitrogen,3-Sep,16.81067821
1019,1019 and 1020,F7,PI 257507,Nitrogen,16-Aug,16.28948698
1019,1019 and 1020,F7,PI 257507,Nitrogen,5-Sep,5.042191462
1019,1019 and 1020,F7,PI 257507,Nitrogen,30-Aug,6.713970771
1019,1019 and 1020,F7,PI 257507,Nitrogen,12-Aug,36.46215481
1019,1019 and 1020,F7,PI 257507,Nitrogen,1-Sep,7.355292447
1019,1019 and 1020,F7,PI 257507,Nitrogen,26-Aug,19.97243856
1019,1019 and 1020,F7,PI 257507,Nitrogen,3-Sep,6.323581399
1019,1019 and 1020,F7,PI 257507,Nitrogen,14-Aug,16.49426338
1019,1019 and 1020,F7,PI 257507,Nitrogen,6-Jul,36.8902637
1019,1019 and 1020,F7,PI 257507,Nitrogen,22-Aug,16.47400081
1019,1019 and 1020,F7,PI 257507,Nitrogen,23-Aug,27.03760529
1019,1019 and 1020,F7,PI 257507,Nitrogen,20-Aug,18.85786506
1021,1021 and 1022,I29,PI 686057,Nitrogen,14-Aug,45.22042847
1021,1021 and 1022,I29,PI 686057,Nitrogen,22-Aug,49.47714574
1021,1021 and 1022,I29,PI 686057,Nitrogen,6-Jul,39.78423173
1021,1021 and 1022,I29,PI 686057,Nitrogen,1-Sep,51.02526827
1021,1021 and 1022,I29,PI 686057,Nitrogen,12-Aug,62.41580286
1021,1021 and 1022,I29,PI 686057,Nitrogen,5-Sep,41.2528578
1021,1021 and 1022,I29,PI 686057,Nitrogen,26-Aug,51.83520318
1021,1021 and 1022,I29,PI 686057,Nitrogen,30-Aug,49.70230535
1021,1021 and 1022,I29,PI 686057,Nitrogen,16-Aug,42.04939366
1021,1021 and 1022,I29,PI 686057,Nitrogen,3-Sep,30.22378386
1021,1021 and 1022,I29,PI 686057,Nitrogen,20-Aug,46.31675429
1021,1021 and 1022,I29,PI 686057,Nitrogen,23-Aug,54.92802591
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,3-Sep,20.66588823
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,22-Aug,21.06902482
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,12-Aug,19.99486463
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,23-Aug,23.27764605
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,5-Sep,20.6850397
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,1-Sep,24.67485016
1023,1023 and 1024,CO106,Ames 27105,Nitrogen,16-Aug,9.201032133
